MES;DIA;HORA;PROVINCIA;CANTÓN;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
JULIO;JUEVES;17:00 A 17:59;GUAYAS;GUAYAQUIL;URBANA;0;0;0;CHOQUES;EXCESO VELOCIDAD
JULIO;JUEVES;17:00 A 17:59;PICHINCHA;QUITO;URBANA;0;1;1;OTROS;IMPRUDENCIA  DEL PEATÓN
JULIO;JUEVES;17:00 A 17:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;18:00 A 18:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;URBANA;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
JULIO;JUEVES;18:00 A 18:59;PICHINCHA;QUITO;RURAL;1;0;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;18:00 A 18:59;GUAYAS;GUAYAQUIL;URBANA;0;2;2;ESTRELLAMIENTOS;EXCESO VELOCIDAD
JULIO;JUEVES;19:00 A 19:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
JULIO;JUEVES;19:00 A 19:59;SANTA ELENA;LA LIBERTAD;URBANA;0;1;1;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;19:00 A 19:59;PICHINCHA;QUITO;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;JUEVES;19:00 A 19:59;GUAYAS;SAN JACINTO DE YAGUACHI;RURAL;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;20:00 A 20:59;GUAYAS;MILAGRO;RURAL;0;1;1;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
JULIO;JUEVES;21:00 A 21:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
JULIO;JUEVES;21:00 A 21:59;MANABÍ;PORTOVIEJO;RURAL;0;1;1;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
JULIO;JUEVES;21:00 A 21:59;PICHINCHA;QUITO;URBANA;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;22:00 A 22:59;GUAYAS;DURAN;URBANA;0;2;2;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;JUEVES;22:00 A 22:59;LOS RÍOS;QUEVEDO;URBANA;0;1;1;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
JULIO;JUEVES;23:00 A 23:59;EL ORO;LAS LAJAS;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;VIERNES;00:00 A 00:59;GUAYAS;EL TRIUNFO;URBANA;0;1;1;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;VIERNES;01:00 A 01:59;LOS RÍOS;BUENA FE;RURAL;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;VIERNES;01:00 A 01:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;URBANA;0;0;0;PÉRDIDA DE PISTA;EMBRIAGUEZ O DROGA
